Gene,Weight,Absolute weight
Gene_04,0.8925688884465551,0.8925688884465551
Gene_01,0.7924366993559575,0.7924366993559575
Gene_02,0.7819269807197871,0.7819269807197871
Gene_05,0.6759749580523223,0.6759749580523223
Gene_11,-0.6406952425545054,0.6406952425545054
Gene_13,0.5616062310714751,0.5616062310714751
Gene_03,0.5350297361429721,0.5350297361429721
Gene_14,0.3963489753221572,0.3963489753221572
Gene_15,0.33886880074318937,0.33886880074318937
Gene_09,0.2970185737060911,0.2970185737060911
Gene_07,-0.28936299296382617,0.28936299296382617
Gene_17,-0.2688266290253565,0.2688266290253565
Gene_16,-0.24520767419962325,0.24520767419962325
Gene_18,0.1870128910450367,0.1870128910450367
Gene_08,0.18018249974743905,0.18018249974743905
Gene_12,-0.16505929458101737,0.16505929458101737
Gene_06,0.09038316923628464,0.09038316923628464
Gene_19,-0.07684685779772904,0.07684685779772904
Gene_20,-0.036044223404879075,0.036044223404879075
Gene_10,-0.025445393593401935,0.025445393593401935
