Balanced accuracy,MCC,ROC-AUC,Average precision
0.75,0.50709255283711,0.7430555555555556,0.6654204863763686
0.7083333333333333,0.4181210050035454,0.8958333333333334,0.9015694953194953
0.5416666666666666,0.08606629658238706,0.6736111111111112,0.7259391673284863
0.7083333333333334,0.43033148291193524,0.8819444444444444,0.9190132783882784
0.75,0.5,0.875,0.8725138287638288
0.7916666666666667,0.5853694070049635,0.7916666666666666,0.7589348151848152
0.7083333333333334,0.43033148291193524,0.8194444444444444,0.860385101010101
0.75,0.5,0.8819444444444445,0.8881014818514819
0.75,0.50709255283711,0.8055555555555556,0.860302429052429
0.7083333333333333,0.4181210050035454,0.7777777777777778,0.8286598756993494
0.7083333333333334,0.43033148291193524,0.888888888888889,0.8664062789062789
0.5833333333333334,0.1767766952966369,0.763888888888889,0.7883580478975216
0.5833333333333334,0.16666666666666666,0.6597222222222223,0.7974863300950257
0.625,0.2508726030021272,0.7152777777777778,0.7482142857142857
0.7083333333333333,0.4181210050035454,0.8541666666666666,0.8835024928774928
0.625,0.2508726030021272,0.7430555555555556,0.7939933024491848
0.6666666666666666,0.3333333333333333,0.7708333333333333,0.7846102971102971
0.6666666666666666,0.3333333333333333,0.8194444444444444,0.8190845034595033
0.7916666666666667,0.5853694070049635,0.8402777777777778,0.798488085988086
0.8333333333333333,0.6761234037828132,0.888888888888889,0.911986161986162
0.625,0.25819888974716115,0.7916666666666667,0.7693018786768786
0.6666666666666667,0.3535533905932738,0.8055555555555556,0.8310950895509719
0.625,0.25819888974716115,0.7361111111111112,0.7701270822400853
0.8333333333333333,0.6761234037828132,0.9305555555555556,0.9339947089947089
0.75,0.5,0.763888888888889,0.8035937381332118
